review,rating,date,bank,source
founded the foundation for success 🙌 ✅️ ✔️ 👍 ✨️ 🙏 🙌,5,2025-05-26,Chase,Google Play Store
the best credit card in the whole world.,5,2025-05-26,Chase,Google Play Store
easy to communicate through app. lots of useful functions that do not require walk in in person,5,2025-05-25,Chase,Google Play Store
Awesome app,5,2025-05-25,Chase,Google Play Store
why are you charging me interest on top of Monthly payments wich should include interest,1,2025-05-25,Chase,Google Play Store
awesome 👌,5,2025-05-25,Chase,Google Play Store
no problem yet with Zelle,4,2025-05-25,Chase,Google Play Store
"this app won't update, it won't let me unlock my card. right now it sucks",4,2025-05-25,Chase,Google Play Store
Good,5,2025-05-25,Chase,Google Play Store
good,5,2025-05-25,Chase,Google Play Store
"synonymous problems with chase app, customer service, and financial institution",1,2025-05-25,Chase,Google Play Store
"Please do not force people logging in to their account from the website to use push notifications on this app as 2FA. sometimes the push notification doesn't go through. Always allow someone to use SMS as a fallback. Even better, let us use authenticator apps like Google's.",1,2025-05-25,Chase,Google Play Store
very simple and easy to use,5,2025-05-25,Chase,Google Play Store
Multiple uses excellent card,5,2025-05-25,Chase,Google Play Store
good,5,2025-05-25,Chase,Google Play Store
I hate this app already. Two days in and it constantly needs a one time passcode to know if it's really me. I'm close to canceling my card.,1,2025-05-25,Chase,Google Play Store
"very user friendly and convenient. Customer service is quick and easy, also.",5,2025-05-25,Chase,Google Play Store
Suddenly I can't lock or unlock the Chase debit card from either the mobile app or the desktop app. This is a few days now! For a bank this size I think it is unusual. What's really going on?,1,2025-05-25,Chase,Google Play Store
"they put ads inside their banking app, and sell info. also they refuse to remove or lower cash advance portion of their credit card, and claim that you enter a pin to do a cash advance and then you have surprises that did not require a pin with their mandatory 30% apr for cash advance+10$ my credit isnt bad, if it was bad the credit union wouldnt give me 6% apr. chase is just a bad actor that gives everyone the 20%-26% apr rate on their card and 5% points on travel is now only in app purchases",1,2025-05-25,Chase,Google Play Store
Terrible experience for foreign travel. I'm not getting fraud alerts when I travel. It's just declining my card intermittently. their documentation all says that you don't need to report travel(and can't self service report travel) because of their magical fraud alerts(which aren't working and none of the 5 people they've transferred me to know how to set up). Instead customer service has now set up travel on my account. Ridiculous,2,2025-05-24,Chase,Google Play Store
"Chase banking is the BEST bank I have ever used. Alerts are sent immediately, allowing me to secure my account easily. the app is easy-to-use and navigation fro. o e screen to the next is simple. The customer service is top notch and professional.",5,2025-05-24,Chase,Google Play Store
good,5,2025-05-24,Chase,Google Play Store
Been with chase for 20 years,5,2025-05-24,Chase,Google Play Store
Fairly happy with the Chase app. My only suggestion would be to make it easier to find account statements. Never seems intuitive.,3,2025-05-24,Chase,Google Play Store
very interesting and easy access,5,2025-05-24,Chase,Google Play Store
easy to use. Great app.,5,2025-05-24,Chase,Google Play Store
Excellent service! Solid app UI.,5,2025-05-24,Chase,Google Play Store
it is ok,5,2025-05-24,Chase,Google Play Store
"cant log in. says username or password is incorrect, even though I have them written down. tried to change them and put in my info and it just says ""we cannot connect to chase"" it's been weeks now",1,2025-05-24,Chase,Google Play Store
"All of a sudden, I'm unable to lock & and unlock my card from the app. I called customer service. They suggested I uninstall the app & reinstall. I did that. still no luck.",3,2025-05-24,Chase,Google Play Store
easy to use and very convenient,5,2025-05-24,Chase,Google Play Store
"05/24/25 - It's been a couple of years since I last reviewed and the app has at least improved enough for me to raise my rating. However, it's still not five star because the latest update now displays a ""not connected to network alert"" when I wouldn't be able to log in with the app if I wasn't connected to a network. I clear the message and everything else functions fine.",4,2025-05-24,Chase,Google Play Store
